"Ramas de Conocimiento: AyH:         Artes y Humanidades
C:            Ciencias
IyA:          Ingeniería y Arquitectura
SD:          Ciencias de la Salud
SyJ:         Ciencias Sociales y Jurídicas
Grados",Rama de conocimiento,Historia de la Filosofía,Análisis Musical II,Artes Escénicas II,Dibujo Artístico II,Latín II,Matemáticas II,Matemáticas Aplicadas CC.SS.,Ciencias Generales,Biología,Dibujo Técnico II,Física,Geología y Ciencias Ambientales,Tecnología e Ingeniería II,Química,Empresa y Diseño de modelos de negocio,Geografía,Griego II,Historia del Arte,Dibujo Técnico aplicado a las artes plásticas y al diseño II,Diseño,Fundamentos Artísticos,Técnicas de Expresión Gráfico- Plástica,Coro y Técnica Vocal II,Historia nde la música y de la danza,Literatura dramática,Movimientos Culturales y Artísticos,Segunda Lengua Extranjera II
Filología Clásica,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Filología Clásica + Estudios Ingleses,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Filología Clásica + Filología Hispánica,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Filología Hispánica,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Filología Hispánica + Estudios Ingleses,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Filosofía,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,2","0,2","0,2","0,1","0,1","0,1",,,"0,1","0,1","0,2","0,1"
Finanzas y Contabilidad,SyJ,"0,1",,,,"0,1","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Finanzas y Contabilidad + Relaciones Laborales y Recursos Hum.,SyJ,"0,2",,,,"0,1","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Física,C,,,,,,"0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,"0,1","0,1",,,,,,,
Física + Ingeniería de Materiales,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Física + Matemáticas,C,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,2","0,2",,,,,"0,1","0,1",,,,,,,
Fisioterapia,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Fisioterapia + Ciencias de la Actividad Física y del Deporte,SD+SyJ,,"0,1","0,1","0,1",,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,2","0,1","0,1","0,1",,,,,,,,"0,1",
Fundamentos Arquitectura,IyA,,,,"0,1",,"0,2","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,"0,1",,,"0,1","0,1",,,,"0,1",
Geografía e Historia,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,"0,1",,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,1",,"0,1",,"0,2","0,1"
Geografía y Gestión del Territorio,SyJ,"0,1",,,,"0,1",,"0,1","0,1","0,1",,,"0,2",,"0,1","0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Geografía y Gestión del Territorio + Historia,AyH+SyJ,"0,2","0,1","0,1","0,1","0,2",,"0,1","0,1","0,1",,,"0,2",,"0,1","0,2","0,2","0,2","0,2","0,1","0,1","0,2","0,1",,"0,1",,"0,2","0,1"
Geología,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Gestión Cultural,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,2","0,1","0,1","0,2","0,2","0,2","0,1"
Gestión y Administración Pública,SyJ,"0,1",,,,"0,1","0,2","0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Historia,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,1",,"0,2",,"0,2","0,1"
Historia + Historia del Arte,AyH,"0,2","0,2","0,2","0,2","0,2",,"0,1",,,,,,,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,2",,"0,2","0,1","0,2","0,1"
Historia + Humanidades,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,1",,"0,2","0,1","0,2","0,1"
Historia del Arte,AyH,"0,2","0,2","0,2","0,2","0,2",,"0,1",,,,,,,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,2",,"0,2","0,1","0,2","0,1"
Historia y Ciencias de la Música,AyH,"0,2","0,2","0,2","0,2","0,2",,"0,1",,,,,,,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1"
Humanidades,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,2","0,2","0,2","0,1","0,1","0,2","0,1",,"0,1","0,1","0,2","0,1"
Humanidades + Traducción e Interpretación,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,1",,"0,1","0,1","0,2","0,2"
Información y Documentacion,SyJ,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,2","0,2","0,2","0,2",,,"0,1","0,1",,"0,1","0,1","0,2",
Ingeniería Aeroespacial,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Agricola,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería Agrícola + Ciencias Ambientales,C+IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2",0.1,,,,,,,,,,,,
Ingeniería Agroalimentaria y del Medio Rural,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería Civil,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Civil + Administración y Dirección de Empresas,IyA+SyJ,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,"0,1",,,,,,,,"0,1",
Ingeniería Civil + Ingeniería en Recursos Energéticos y Mineros,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería Civil + Ingeniería en Tecnologías Mineras,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de Computadores,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería de Diseño Industrial y Des.del Prod.,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de la Energía,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de la Salud,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de Materiales,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de Recursos Energéticos,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de Recursos Energéticos + Ingeniería Química Industrial,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de Recursos Energéticos y Mineros + Ingeniería Eléctrica,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería de Sistemas de Telecomunicación,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería de Sistemas Electrónicos,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería de Sonido e Imagen,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería de Tecnologías de Telecomunicación,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería de Tecnologías de Telecomunicación + Matemáticas,IyA+C,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería de Tecnologías Mineras,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería del Software,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Eléctrica,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Eléctrica + Ingeniería Electrónica Industrial,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Eléctrica + Ingeniería Energética,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería Eléctrica + Ingeniería Mecánica,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Electrónica,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Electrónica Industrial,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Electrónica Industrial + Ingeniería Eléctrica,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Electrónica Industrial + Ingeniería Mecánica,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Electrónica Industrial y Automática,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
"Ingeniería Electrónica, Robótica y Mecatrónica",IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería en Diseño Ind. y Desarr. del Prod. + Ingeniería Mecánica,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2",0.1,"0,1",,,,,,,,,,,,
Ingeniería en Explotación de Minas y Recursos Energéticos,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería en Organización Industrial,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,2",,,,,,,,,,,,
Ingeniería en Recursos Energéticos y Mineros,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería en Tecnologías Industriales,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Energética,IyA,,,,,,"0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería Forestal,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería Forestal + Ingeniería Agroalimentaria y del Medio Rural,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2",0.1,,,,,,,,,,,,
Ingeniería Forestal y del Medio Natural,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Ingeniería Geomática y Topográfíca,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Informática,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Informática + Admistración y Dirección de Empresas,IyA+SyJ,"0,1",,,,"0,1","0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1","0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Ingeniería Informática + Matemáticas,C+IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Informática de Sistemas de Información,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Informática. Ingeniería de Computadores,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
Ingeniería Informática. Ingeniería del Software,IyA,,,,,,"0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,2","0,1","0,1",,,,,,,,,,,,
